window_quarters,quarter,train_rows,test_rows,rank_ic,p_value,decile_spread
8,2019Q3,10830,1886,0.026459975843643034,0.2507433319373309,0.055359153495990035
8,2019Q4,11313,1424,0.0811687774878863,0.0021741685208464495,0.08376277706063545
8,2020Q1,11331,1435,0.2283287068686179,1.990806901624585e-18,0.21373816582070015
8,2020Q2,11355,1440,0.13883824132232847,1.2258241731849006e-07,0.1080219655952723
8,2020Q3,11382,1443,0.02590617541369951,0.3254076761126834,0.06919352196245628
8,2020Q4,11412,1443,0.1325630214640419,4.335495054274893e-07,0.05726683221149677
8,2021Q1,11439,1449,0.049243174921689635,0.06093086990796646,0.028924671525631617
8,2021Q2,11938,1449,-0.012014835313437763,0.6476887970683407,0.016260767083307107
8,2021Q3,11969,1454,0.07024285702068198,0.007374065097373282,0.0316866989095652
8,2021Q4,11537,1460,-0.21154246514110916,3.116820840167157e-16,-0.07716200029700626
8,2022Q1,11573,1467,-0.07625286762101534,0.003473894657764548,0.036446957609718424
8,2022Q2,11605,1469,-0.0773557642047822,0.003009379277816053,-0.021788194383034372
8,2022Q3,11634,1470,0.143938533836181,2.9753852389099135e-08,0.07994504829757487
8,2022Q4,11661,1472,-0.1528776307252355,3.744447059214345e-09,-0.07648476928881741
8,2023Q1,11690,1473,-0.10969980471718162,2.4494345576251872e-05,-0.052931146864226064
8,2023Q2,11714,1006,0.09274240632914722,0.0032374055987581256,0.14635194852414507
8,2023Q3,11271,1473,0.06251309140430077,0.016415557564370572,0.05190683520885865
8,2023Q4,11290,1476,0.1317213054634856,3.8058264182474093e-07,0.06612575314984187
8,2024Q1,11306,1472,0.15673433629248945,1.4879596916079473e-09,0.16580400974474258
8,2024Q2,11311,1479,-0.023587951940026195,0.3646717167996276,-0.015417579890388044
8,2024Q3,11321,1486,0.24838997144501515,2.483503413803673e-22,0.168766150356116
8,2024Q4,11337,1484,0.12149242962730206,2.683449231355051e-06,0.10990354332957658
8,2025Q1,11349,1479,0.11315995912756209,1.2875040437919587e-05,0.07774095658057381
8,2025Q2,11355,1487,0.3719573218729483,5.321770012655205e-50,0.2846938388798798
8,2025Q3,11836,1489,-0.05215400463027858,0.04420146460562915,-0.001986212174148813
8,2025Q4,11852,1493,-0.0019248318519075557,0.9407620945688165,-0.032783412064007686
8,2026Q1,11869,1486,0.3023400835284511,8.749538527284575e-33,0.3501038592009372
8,2026Q2,11883,1476,0.09590538341123357,0.0002242971184790273,0.13927134553612322
10,2017Q4,1868,1406,0.20788089785358543,3.4326117828544045e-15,0.07437671238099292
10,2018Q1,3274,1411,-0.061535937557087216,0.02079786283119842,-0.022172945406010128
10,2018Q2,4685,1413,0.11820676062611106,8.386413550663993e-06,0.08436751350646116
10,2018Q3,6098,1413,-0.18445772078913703,2.7952473973922137e-12,-0.07078266219362318
10,2018Q4,7511,1416,0.12279005992094426,3.5861918138969472e-06,0.06479860574817142
10,2019Q1,8927,950,0.002196861489979692,0.9460859435579887,0.01936535459772335
10,2019Q2,9877,1418,0.08248507239679537,0.0018794721816690649,0.05012852716698982
10,2019Q3,11295,1886,0.034032522587839446,0.13956417716800956,0.026166335257294275
10,2019Q4,13181,1424,0.08075225968769686,0.0022917191856574107,0.09155402056550827
