quarter,sector,share_of_universe,share_of_top_decile,gap
2020Q2,Consumer Durables,0.03333333333333333,0.0196078431372549,-0.013725490196078431
2020Q2,Realty,0.029411764705882353,0.0,-0.029411764705882353
2020Q2,Consumer Services,0.027450980392156862,0.09803921568627451,0.07058823529411765
2020Q2,Telecommunication,0.023529411764705882,0.0392156862745098,0.01568627450980392
2020Q2,Services,0.023529411764705882,0.0,-0.023529411764705882
2020Q2,Construction Materials,0.023529411764705882,0.0,-0.023529411764705882
2020Q2,Construction,0.011764705882352941,0.0,-0.011764705882352941
2020Q2,Textiles,0.0058823529411764705,0.0,-0.0058823529411764705
2020Q3,Financial Services,0.22666666666666666,0.0,-0.22666666666666666
2020Q3,Capital Goods,0.09904761904761905,0.038461538461538464,-0.06058608058608059
2020Q3,Healthcare,0.08,0.07692307692307693,-0.0030769230769230743
2020Q3,Fast Moving Consumer Goods,0.08,0.038461538461538464,-0.04153846153846154
2020Q3,Automobile and Auto Components,0.07428571428571429,0.0,-0.07428571428571429
2020Q3,Information Technology,0.06857142857142857,0.46153846153846156,0.392967032967033
2020Q3,Metals & Mining,0.05714285714285714,0.0,-0.05714285714285714
2020Q3,Oil Gas & Consumable Fuels,0.05142857142857143,0.0,-0.05142857142857143
2020Q3,Power,0.045714285714285714,0.21153846153846154,0.16582417582417583
2020Q3,Consumer Durables,0.03619047619047619,0.038461538461538464,0.002271062271062274
2020Q3,Chemicals,0.03428571428571429,0.038461538461538464,0.004175824175824176
2020Q3,Consumer Services,0.03238095238095238,0.07692307692307693,0.04454212454212455
2020Q3,Realty,0.02857142857142857,0.0,-0.02857142857142857
2020Q3,Construction Materials,0.022857142857142857,0.0,-0.022857142857142857
2020Q3,Services,0.022857142857142857,0.0,-0.022857142857142857
2020Q3,Telecommunication,0.022857142857142857,0.019230769230769232,-0.0036263736263736253
2020Q3,Construction,0.011428571428571429,0.0,-0.011428571428571429
2020Q3,Textiles,0.005714285714285714,0.0,-0.005714285714285714
2020Q4,Financial Services,0.22413793103448276,0.019230769230769232,-0.20490716180371354
2020Q4,Capital Goods,0.09770114942528736,0.09615384615384616,-0.0015473032714412027
2020Q4,Healthcare,0.08045977011494253,0.07692307692307693,-0.0035366931918656003
2020Q4,Fast Moving Consumer Goods,0.08045977011494253,0.057692307692307696,-0.022767462422634832
2020Q4,Automobile and Auto Components,0.07471264367816093,0.0,-0.07471264367816093
2020Q4,Information Technology,0.06896551724137931,0.15384615384615385,0.08488063660477455
2020Q4,Metals & Mining,0.05747126436781609,0.07692307692307693,0.019451812555260836
2020Q4,Oil Gas & Consumable Fuels,0.05172413793103448,0.019230769230769232,-0.03249336870026525
2020Q4,Power,0.04597701149425287,0.23076923076923078,0.1847922192749779
2020Q4,Consumer Services,0.034482758620689655,0.11538461538461539,0.08090185676392574
2020Q4,Consumer Durables,0.034482758620689655,0.038461538461538464,0.003978779840848809
2020Q4,Chemicals,0.034482758620689655,0.07692307692307693,0.04244031830238727
2020Q4,Realty,0.028735632183908046,0.0,-0.028735632183908046
2020Q4,Construction Materials,0.022988505747126436,0.019230769230769232,-0.0037577365163572046
2020Q4,Telecommunication,0.022988505747126436,0.019230769230769232,-0.0037577365163572046
2020Q4,Services,0.022988505747126436,0.0,-0.022988505747126436
2020Q4,Construction,0.011494252873563218,0.0,-0.011494252873563218
2020Q4,Textiles,0.005747126436781609,0.0,-0.005747126436781609
2021Q1,Financial Services,0.2262357414448669,0.25,0.02376425855513309
2021Q1,Capital Goods,0.10076045627376426,0.15384615384615385,0.053085697572389595
2021Q1,Healthcare,0.07984790874524715,0.038461538461538464,-0.04138637028370869
2021Q1,Fast Moving Consumer Goods,0.07984790874524715,0.0,-0.07984790874524715
2021Q1,Automobile and Auto Components,0.0741444866920152,0.038461538461538464,-0.03568294823047674
2021Q1,Information Technology,0.06844106463878327,0.019230769230769232,-0.04921029540801404
2021Q1,Metals & Mining,0.057034220532319393,0.11538461538461539,0.058350394852296
2021Q1,Oil Gas & Consumable Fuels,0.051330798479087454,0.057692307692307696,0.006361509213220241
2021Q1,Power,0.045627376425855515,0.15384615384615385,0.10821877742029834
2021Q1,Consumer Services,0.034220532319391636,0.0,-0.034220532319391636
2021Q1,Consumer Durables,0.034220532319391636,0.07692307692307693,0.04270254460368529
2021Q1,Chemicals,0.034220532319391636,0.0,-0.034220532319391636
2021Q1,Realty,0.028517110266159697,0.038461538461538464,0.009944428195378767
2021Q1,Construction Materials,0.022813688212927757,0.0,-0.022813688212927757
2021Q1,Telecommunication,0.022813688212927757,0.0,-0.022813688212927757
2021Q1,Services,0.022813688212927757,0.019230769230769232,-0.0035829189821585256
2021Q1,Construction,0.011406844106463879,0.038461538461538464,0.027054694355074585
2021Q1,Textiles,0.005703422053231939,0.0,-0.005703422053231939
2021Q2,Financial Services,0.22580645161290322,0.038461538461538464,-0.18734491315136476
2021Q2,Capital Goods,0.10246679316888045,0.07692307692307693,-0.025543716245803524
2021Q2,Healthcare,0.08159392789373814,0.019230769230769232,-0.062363158662968904
2021Q2,Fast Moving Consumer Goods,0.07969639468690702,0.0,-0.07969639468690702
2021Q2,Automobile and Auto Components,0.07400379506641366,0.038461538461538464,-0.0355422566048752
2021Q2,Information Technology,0.0683111954459203,0.038461538461538464,-0.029849656984381842
2021Q2,Metals & Mining,0.056925996204933584,0.5384615384615384,0.48153554225660483
2021Q2,Oil Gas & Consumable Fuels,0.051233396584440226,0.057692307692307696,0.00645891110786747
2021Q2,Power,0.04554079696394687,0.19230769230769232,0.14676689534374546
2021Q2,Consumer Services,0.03415559772296015,0.0,-0.03415559772296015
2021Q2,Chemicals,0.03415559772296015,0.0,-0.03415559772296015
2021Q2,Consumer Durables,0.03225806451612903,0.0,-0.03225806451612903
2021Q2,Realty,0.028462998102466792,0.0,-0.028462998102466792
2021Q2,Telecommunication,0.022770398481973434,0.0,-0.022770398481973434
2021Q2,Construction Materials,0.022770398481973434,0.0,-0.022770398481973434
2021Q2,Services,0.022770398481973434,0.0,-0.022770398481973434
2021Q2,Construction,0.011385199240986717,0.0,-0.011385199240986717
2021Q2,Textiles,0.0056925996204933585,0.0,-0.0056925996204933585
2021Q3,Financial Services,0.225140712945591,0.0,-0.225140712945591
2021Q3,Capital Goods,0.1050656660412758,0.018867924528301886,-0.08619774151297392
2021Q3,Healthcare,0.08442776735459662,0.05660377358490566,-0.027823993769690955
2021Q3,Fast Moving Consumer Goods,0.07879924953095685,0.0,-0.07879924953095685
2021Q3,Automobile and Auto Components,0.07317073170731707,0.0,-0.07317073170731707
2021Q3,Information Technology,0.0675422138836773,0.20754716981132076,0.14000495592764345
2021Q3,Metals & Mining,0.05628517823639775,0.4716981132075472,0.41541293497114945
2021Q3,Oil Gas & Consumable Fuels,0.05065666041275797,0.018867924528301886,-0.03178873588445609
2021Q3,Power,0.0450281425891182,0.18867924528301888,0.1436511026939007
2021Q3,Consumer Durables,0.03377110694183865,0.0,-0.03377110694183865
2021Q3,Consumer Services,0.03377110694183865,0.0,-0.03377110694183865
2021Q3,Chemicals,0.03377110694183865,0.018867924528301886,-0.014903182413536765
2021Q3,Realty,0.028142589118198873,0.0,-0.028142589118198873
2021Q3,Telecommunication,0.0225140712945591,0.018867924528301886,-0.0036461467662572133
2021Q3,Services,0.0225140712945591,0.0,-0.0225140712945591
2021Q3,Construction Materials,0.0225140712945591,0.0,-0.0225140712945591
2021Q3,Construction,0.01125703564727955,0.0,-0.01125703564727955
2021Q3,Textiles,0.005628517823639775,0.0,-0.005628517823639775
2021Q4,Financial Services,0.22761194029850745,0.018867924528301886,-0.20874401577020557
2021Q4,Capital Goods,0.10634328358208955,0.05660377358490566,-0.04973950999718389
2021Q4,Healthcare,0.08395522388059702,0.09433962264150944,0.01038439876091242
2021Q4,Fast Moving Consumer Goods,0.07835820895522388,0.0,-0.07835820895522388
2021Q4,Automobile and Auto Components,0.07276119402985075,0.018867924528301886,-0.053893269501548866
2021Q4,Information Technology,0.06716417910447761,0.32075471698113206,0.2535905378766544
2021Q4,Metals & Mining,0.055970149253731345,0.18867924528301888,0.13270909602928754
2021Q4,Oil Gas & Consumable Fuels,0.05037313432835821,0.07547169811320754,0.025098563784849336
2021Q4,Power,0.04477611940298507,0.18867924528301888,0.14390312588003382
2021Q4,Consumer Durables,0.033582089552238806,0.0,-0.033582089552238806
2021Q4,Consumer Services,0.033582089552238806,0.018867924528301886,-0.01471416502393692
2021Q4,Chemicals,0.033582089552238806,0.0,-0.033582089552238806
2021Q4,Realty,0.027985074626865673,0.0,-0.027985074626865673
2021Q4,Construction Materials,0.022388059701492536,0.0,-0.022388059701492536
2021Q4,Telecommunication,0.022388059701492536,0.0,-0.022388059701492536
2021Q4,Services,0.022388059701492536,0.018867924528301886,-0.00352013517319065
2021Q4,Construction,0.011194029850746268,0.0,-0.011194029850746268
2021Q4,Textiles,0.005597014925373134,0.0,-0.005597014925373134
2022Q1,Financial Services,0.2390745501285347,0.0,-0.2390745501285347
2022Q1,Capital Goods,0.11053984575835475,0.05263157894736842,-0.057908266810986334
2022Q1,Healthcare,0.08226221079691516,0.0,-0.08226221079691516
2022Q1,Fast Moving Consumer Goods,0.07455012853470437,0.0,-0.07455012853470437
2022Q1,Automobile and Auto Components,0.06940874035989718,0.02631578947368421,-0.04309295088621297
2022Q1,Information Technology,0.06426735218508997,0.34210526315789475,0.27783791097280475
2022Q1,Metals & Mining,0.05141388174807198,0.18421052631578946,0.13279664456771748
2022Q1,Oil Gas & Consumable Fuels,0.04884318766066838,0.05263157894736842,0.0037883912867000408
2022Q1,Consumer Durables,0.04113110539845758,0.0,-0.04113110539845758
2022Q1,Power,0.04113110539845758,0.2631578947368421,0.22202678933838452
2022Q1,Consumer Services,0.03598971722365039,0.02631578947368421,-0.009673927749966178
2022Q1,Chemicals,0.030848329048843187,0.0,-0.030848329048843187
2022Q1,Realty,0.030848329048843187,0.0,-0.030848329048843187
2022Q1,Construction Materials,0.02056555269922879,0.0,-0.02056555269922879
2022Q1,Services,0.02056555269922879,0.02631578947368421,0.005750236774455419
